ID,image_id,category_id,bbox,score
38,26485,1,"[208.839, 230.22, 18.75, 31.604]",0.6459600000000001
39,26485,5,"[228.011, 179.53, 8.914, 25.922]",0.59994
40,26485,5,"[180.584, 136.503, 7.973, 25.047]",0.5368200000000001
41,26485,5,"[316.801, 120.251, 17.737, 55.049]",0.53268
42,26485,1,"[174.071, 231.995, 17.934, 30.632]",0.5198900000000001
43,26485,1,"[147.387, 233.685, 15.752, 28.07]",0.4365
44,26485,1,"[203.33, 228.852, 30.654, 34.898]",0.26622
45,19379,1,"[217.315, 227.927, 22.719, 47.322]",0.6746300000000001
46,19379,1,"[157.349, 229.711, 25.311, 41.189]",0.63366
47,19379,5,"[199.507, 141.433, 13.165, 46.509]",0.5801000000000001
48,19379,5,"[123.816, 77.348, 12.821, 39.589]",0.42615000000000003
49,19379,1,"[203.5, 222.573, 40.979, 55.86]",0.38439
50,19379,1,"[190.173, 228.777, 23.981, 42.024]",0.35892
51,19379,4,"[123.816, 77.348, 12.821, 39.589]",0.31332000000000004
52,19379,5,"[201.106, 154.29, 11.21, 35.425]",0.27489
53,27151,2,"[0.0, 261.34, 67.43, 70.471]",0.87594
54,20523,2,"[68.48, 256.279, 38.22, 36.878]",0.8181
55,20523,2,"[248.552, 241.338, 14.523, 20.452]",0.5813600000000001
56,20523,2,"[178.888, 249.064, 17.677, 20.76]",0.5612400000000001
57,20523,1,"[163.049, 249.443, 11.517, 25.594]",0.25862
58,20523,2,"[359.399, 238.323, 28.004, 17.444]",0.25703000000000004
59,14439,2,"[433.634, 233.79, 34.424, 27.401]",0.75238
60,14439,2,"[154.699, 245.222, 22.132, 24.44]",0.7056
61,14439,1,"[101.479, 238.929, 15.73, 41.543]",0.6891900000000001
62,14439,2,"[245.172, 236.161, 13.788, 20.279]",0.5700500000000001
63,11933,2,"[430.83, 240.935, 80.614, 47.731]",0.7867400000000001
64,11933,2,"[189.512, 257.859, 12.706, 16.39]",0.31969000000000003
65,11933,3,"[269.752, 253.457, 7.151, 26.228]",0.24126000000000003
66,20422,2,"[478.212, 231.85, 33.788, 54.898]",0.8533400000000001
67,20422,2,"[94.099, 247.585, 25.473, 32.627]",0.79766
68,8152,3,"[266.936, 256.391, 7.077, 23.693]",0.43642000000000003
69,8152,3,"[264.97, 256.276, 6.587, 23.032]",0.27627
70,24627,2,"[13.58, 266.773, 59.293, 48.046]",0.69467
71,19352,2,"[76.368, 257.359, 106.699, 104.058]",0.8972500000000001
72,19352,11,"[165.081, 120.125, 86.917, 198.512]",0.8276600000000001
73,19352,2,"[0.41100000000000003, 257.186, 29.738, 154.236]",0.77936
74,19352,2,"[4.588, 255.553, 46.551, 59.577]",0.6655300000000001
75,19352,2,"[36.348, 248.875, 46.146, 56.412]",0.5435800000000001
76,19352,2,"[21.59, 256.491, 37.12, 57.156]",0.43801
77,19352,2,"[327.243, 258.176, 26.251, 21.361]",0.37918
78,19352,2,"[310.817, 255.099, 20.551, 23.006]",0.36378000000000005
79,19352,2,"[165.343, 116.928, 85.685, 204.777]",0.3441
80,19352,2,"[24.762, 252.806, 49.309, 54.758]",0.27716
81,19352,2,"[47.037, 257.092, 25.685, 52.054]",0.23078
82,27763,2,"[212.48, 248.138, 42.638, 54.177]",0.8618800000000001
83,27763,11,"[210.472, 206.153, 128.223, 67.667]",0.81913
84,27763,2,"[0.0, 249.35, 59.774, 98.366]",0.8011400000000001
85,27763,2,"[49.629, 251.204, 39.595, 66.514]",0.6336
86,27763,2,"[71.985, 248.197, 47.149, 60.861]",0.6035
87,27763,2,"[26.469, 249.742, 62.023, 65.408]",0.5669500000000001
88,27763,2,"[84.657, 246.433, 41.932, 58.611]",0.5113
89,27763,2,"[126.731, 253.021, 17.189, 38.903]",0.40364000000000005
90,27763,2,"[47.78, 249.359, 61.382, 63.686]",0.39604000000000006
91,27763,2,"[107.513, 252.052, 30.492, 45.809]",0.35218000000000005
92,27763,2,"[115.627, 260.195, 17.966, 37.883]",0.31295
93,27763,2,"[138.711, 252.178, 16.384, 31.896]",0.28535000000000005
94,27763,2,"[8.014, 248.354, 72.49, 76.355]",0.24529
95,28050,2,"[182.902, 256.431, 40.763, 53.093]",0.84113
96,28050,11,"[218.86, 211.205, 137.343, 75.874]",0.7882500000000001
97,28050,2,"[20.919, 260.924, 49.958, 56.095]",0.61087
98,28050,2,"[1.331, 246.901, 29.136, 91.767]",0.60507
99,28050,2,"[19.477, 276.604, 27.948, 49.572]",0.6018600000000001
100,28050,2,"[80.005, 258.49, 23.411, 42.243]",0.50371
101,28050,2,"[345.239, 252.426, 51.07, 37.448]",0.50071
102,28050,2,"[98.495, 264.595, 28.294, 33.173]",0.4879
103,28050,2,"[56.967, 258.68, 26.116, 49.325]",0.45844
104,28050,2,"[8.578, 268.893, 41.211, 59.631]",0.45302000000000003
105,28050,2,"[423.233, 256.142, 39.687, 38.211]",0.44544000000000006
106,28050,2,"[41.823, 265.55, 26.55, 55.046]",0.43718
107,28050,2,"[99.631, 259.558, 33.88, 33.49]",0.37365000000000004
108,28050,2,"[381.16, 255.715, 27.938, 36.043]",0.35031
109,28050,2,"[30.142, 255.667, 51.831, 51.874]",0.31395
110,28050,2,"[66.379, 259.961, 30.373, 44.819]",0.30847
111,28050,2,"[5.043, 258.237, 56.621, 66.577]",0.28744000000000003
112,12365,2,"[147.79, 254.814, 40.728, 51.757]",0.86194
113,12365,11,"[217.539, 205.002, 134.51, 82.23]",0.7526900000000001
114,12365,2,"[0.879, 257.163, 27.947, 58.052]",0.70015
115,12365,2,"[51.855, 263.958, 30.646, 34.246]",0.67486
116,12365,2,"[27.155, 254.892, 28.788, 48.847]",0.5323300000000001
117,12365,2,"[64.511, 255.743, 39.778, 31.91]",0.43725
118,12365,2,"[14.694, 254.968, 33.866, 51.959]",0.42827000000000004
119,12365,2,"[53.492, 257.761, 40.161, 35.584]",0.41663000000000006
120,12365,2,"[370.168, 254.252, 30.119, 37.136]",0.37304000000000004
121,12365,2,"[24.171, 260.401, 63.353, 38.427]",0.28700000000000003
122,12365,2,"[77.285, 255.992, 31.217, 32.416]",0.2798
123,20505,2,"[153.174, 236.576, 81.609, 99.469]",0.9176400000000001
124,20505,2,"[459.238, 241.92, 52.241, 60.567]",0.8420500000000001
125,20505,2,"[3.019, 255.276, 84.93, 43.989]",0.8362400000000001
126,20505,2,"[399.853, 249.923, 64.076, 48.649]",0.83469
127,20505,2,"[87.464, 251.058, 34.297, 45.983]",0.72423
128,20505,2,"[298.741, 255.951, 25.606, 26.295]",0.59594
129,20505,2,"[377.856, 251.369, 35.176, 40.178]",0.49464
130,20505,2,"[51.339, 249.136, 61.884, 47.525]",0.43983000000000005
131,20505,2,"[120.894, 260.855, 23.441, 29.812]",0.40788
132,20505,2,"[323.889, 256.917, 24.065, 30.047]",0.25835
133,29294,2,"[190.326, 247.101, 82.255, 103.761]",0.9092600000000001
134,29294,2,"[0.0, 265.011, 65.387, 57.711]",0.8089700000000001
135,29294,2,"[65.453, 258.532, 52.362, 61.531]",0.7795300000000001
136,29294,2,"[373.99, 262.356, 48.764, 40.981]",0.72209
137,29294,2,"[432.211, 258.884, 53.828, 48.153]",0.70569
138,29294,2,"[152.942, 267.345, 29.705, 30.588]",0.59158
139,29294,2,"[326.826, 263.323, 35.806, 31.161]",0.57806
140,29294,2,"[126.76, 270.774, 25.274, 34.507]",0.50834
141,29294,2,"[481.642, 255.285, 28.92, 58.899]",0.4742
142,29294,2,"[30.485, 257.385, 79.338, 59.747]",0.36906000000000005
143,29294,2,"[363.728, 264.873, 23.031, 33.059]",0.34727
144,29294,2,"[112.18, 267.804, 22.286, 40.662]",0.31053000000000003
145,29294,2,"[440.808, 259.185, 70.931, 50.016]",0.26575000000000004
146,29294,2,"[151.187, 271.088, 15.645, 28.342]",0.24311000000000002
147,14986,2,"[173.853, 273.185, 52.452, 68.891]",0.8805900000000001
148,14986,2,"[452.172, 270.127, 58.817, 64.468]",0.8619300000000001
149,14986,2,"[365.14, 273.725, 57.894, 45.853]",0.8241200000000001
150,14986,2,"[0.642, 263.223, 38.018, 78.353]",0.8149500000000001
151,14986,2,"[69.262, 281.298, 27.183, 37.597]",0.6543500000000001
152,14986,2,"[44.69, 275.93, 29.198, 52.056]",0.6131
153,14986,2,"[308.598, 271.322, 39.991, 34.724]",0.6017800000000001
154,14986,2,"[421.623, 272.875, 33.479, 34.252]",0.55688
155,14986,2,"[165.997, 276.343, 18.244, 32.834]",0.48872000000000004
156,14986,2,"[31.016, 272.242, 36.101, 59.3]",0.47612000000000004
157,14986,2,"[48.784, 278.742, 38.036, 43.962]",0.47174000000000005
158,14986,2,"[112.649, 273.981, 29.037, 34.15]",0.4566
159,14986,2,"[32.373, 274.228, 22.646, 58.79]",0.31197
160,14986,2,"[102.549, 276.389, 26.656, 32.871]",0.29586
161,14986,2,"[349.2, 274.227, 29.33, 34.425]",0.26706
162,29444,2,"[2.645, 243.891, 102.773, 188.122]",0.81096
163,29444,2,"[246.425, 281.062, 69.186, 68.14]",0.8047200000000001
164,29444,2,"[145.533, 281.082, 101.281, 103.496]",0.77507
165,29444,11,"[457.74, 235.6, 38.933, 66.441]",0.76268
166,29444,2,"[86.633, 260.362, 69.852, 141.358]",0.7581600000000001
167,29444,2,"[319.235, 283.036, 38.759, 46.3]",0.5336500000000001
168,29444,2,"[306.856, 283.534, 36.872, 50.894]",0.53237
169,29444,2,"[198.582, 279.866, 59.516, 74.082]",0.5037400000000001
170,29444,2,"[230.398, 281.488, 29.477, 74.832]",0.43357
171,29444,2,"[353.861, 294.941, 19.024, 30.927]",0.3977
172,29444,11,"[401.569, 257.124, 22.514, 43.953]",0.3698
173,29444,2,"[333.005, 291.27, 30.501, 36.659]",0.35542
174,29444,2,"[363.08, 273.457, 33.933, 37.264]",0.35425
175,29444,2,"[259.05, 282.368, 80.117, 59.991]",0.30724
176,29444,2,"[371.855, 271.13, 33.761, 36.616]",0.28718000000000005
177,29444,2,"[311.724, 291.916, 27.296, 44.987]",0.24601
178,18862,2,"[0.0, 211.325, 65.205, 132.65]",0.8236300000000001
179,18862,11,"[319.676, 168.59, 35.301, 69.47]",0.8185800000000001
180,18862,2,"[83.518, 211.376, 88.258, 83.495]",0.8170700000000001
181,18862,2,"[448.957, 232.325, 61.917, 82.854]",0.8025300000000001
182,18862,2,"[403.473, 227.2, 40.598, 49.271]",0.69886
183,18862,2,"[387.129, 201.98, 33.18, 41.749]",0.58047
184,18862,2,"[363.897, 203.865, 27.775, 28.982]",0.57635
185,18862,2,"[165.744, 220.247, 32.331, 55.268]",0.5655
186,18862,2,"[437.332, 210.136, 38.065, 63.551]",0.55373
187,18862,2,"[20.825, 211.905, 72.741, 85.967]",0.5247200000000001
188,18862,2,"[182.421, 220.48, 35.907, 46.61]",0.5026400000000001
189,18862,2,"[409.78, 201.971, 53.025, 40.571]",0.47575000000000006
190,18862,2,"[158.687, 214.789, 50.575, 56.855]",0.46971
191,18862,2,"[213.669, 227.32, 20.83, 33.915]",0.46905
192,18862,2,"[228.89, 206.861, 24.348, 42.053]",0.45545
193,18862,11,"[263.132, 192.492, 22.212, 44.752]",0.42979000000000006
194,18862,2,"[449.952, 205.746, 61.059, 63.558]",0.42305000000000004
195,18862,2,"[59.915, 211.013, 41.171, 87.65]",0.41586
196,18862,2,"[50.966, 242.322, 35.849, 71.795]",0.35338
197,18862,2,"[245.951, 206.426, 21.0, 36.766]",0.34412000000000004
198,18862,2,"[231.708, 205.924, 34.271, 39.54]",0.34126
199,18862,2,"[263.138, 192.663, 21.908, 43.707]",0.32854000000000005
200,18862,2,"[435.095, 217.349, 27.881, 62.48]",0.28193
201,18862,2,"[183.581, 201.917, 50.69, 36.805]",0.27988
202,18862,2,"[406.647, 207.596, 55.773, 65.015]",0.27045
203,13567,2,"[259.275, 265.744, 91.212, 49.655]",0.8936600000000001
204,13567,11,"[179.329, 191.213, 63.972, 127.457]",0.8748100000000001
205,13567,2,"[392.813, 225.048, 119.143, 179.148]",0.8517500000000001
206,13567,2,"[16.431, 261.465, 50.653, 73.127]",0.76856
207,13567,3,"[356.781, 260.021, 11.465, 49.439]",0.67344
208,13567,2,"[1.5190000000000001, 263.228, 24.924, 78.437]",0.60474
209,13567,2,"[87.251, 262.953, 21.344, 54.062]",0.55622
210,13567,11,"[54.995, 230.329, 38.943, 92.084]",0.31507
211,13567,2,"[135.322, 269.957, 28.463, 26.888]",0.28778000000000004
212,13567,2,"[104.585, 267.744, 29.392, 42.288]",0.26178
213,13567,2,"[54.995, 230.329, 38.943, 92.084]",0.25631000000000004
214,27575,11,"[50.444, 4.143, 239.445, 390.901]",0.8158400000000001
215,27575,2,"[0.196, 265.7, 66.451, 55.275]",0.79554
216,27575,3,"[459.069, 249.964, 13.115, 48.56]",0.55893
217,29204,11,"[71.71, 0.0, 231.05, 375.367]",0.8607800000000001
218,29204,2,"[0.0, 268.034, 74.499, 58.446]",0.7806700000000001
219,29204,3,"[490.515, 248.069, 14.06, 62.276]",0.6422100000000001
220,29204,2,"[30.083, 265.075, 50.795, 47.337]",0.30382000000000003
221,18460,11,"[148.93, 153.504, 93.621, 184.282]",0.8768400000000001
222,18460,2,"[0.641, 275.319, 34.618, 64.727]",0.76966
223,18460,2,"[32.953, 289.535, 29.226, 44.491]",0.75038
224,18460,3,"[272.8, 265.527, 14.191, 62.35]",0.6721600000000001
225,18460,2,"[89.908, 281.484, 20.742, 39.002]",0.48062000000000005
226,18460,2,"[44.059, 263.335, 49.511, 52.486]",0.45092000000000004
227,18460,3,"[243.274, 272.091, 9.36, 35.272]",0.42256000000000005
228,18460,2,"[55.133, 278.465, 26.704, 45.455]",0.37369
229,18460,2,"[61.259, 261.909, 33.466, 57.943]",0.32389
230,18460,2,"[38.144, 280.997, 42.727, 44.756]",0.31913
231,18460,3,"[442.529, 259.119, 15.035, 49.106]",0.29559
232,18460,2,"[58.022, 289.012, 18.517, 39.121]",0.29556000000000004
233,19586,11,"[158.337, 183.325, 75.324, 148.412]",0.8891300000000001
234,19586,2,"[0.8250000000000001, 278.724, 31.129, 62.932]",0.76324
235,19586,2,"[30.778, 291.606, 28.242, 44.351]",0.71674
236,19586,3,"[272.393, 264.658, 14.694, 67.467]",0.6950500000000001
237,19586,2,"[89.365, 284.828, 18.529, 36.111]",0.57835
238,19586,3,"[246.581, 273.603, 10.183, 38.601]",0.49656000000000006
239,19586,2,"[37.31, 263.936, 53.188, 48.384]",0.47050000000000003
240,19586,2,"[52.23, 272.695, 29.716, 52.937]",0.36603
241,19586,2,"[54.788, 288.405, 20.192, 41.457]",0.32739
242,19586,2,"[28.791, 284.16, 37.719, 46.71]",0.32061
243,19586,2,"[40.052, 278.956, 40.347, 48.968]",0.30517000000000005
244,19586,3,"[407.586, 259.268, 11.452, 38.5]",0.27625
245,19586,2,"[69.448, 264.581, 24.054, 58.961]",0.23185000000000003
246,6948,2,"[2.174, 235.752, 140.835, 152.683]",0.9042100000000001
247,6948,11,"[177.418, 212.361, 61.771, 111.787]",0.8800600000000001
248,6948,3,"[272.543, 267.592, 14.323, 63.483]",0.6214000000000001
249,6948,3,"[347.118, 266.516, 14.393, 50.543]",0.5995
250,22334,2,"[4.016, 243.279, 163.296, 133.726]",0.9166200000000001
251,22334,11,"[178.075, 215.246, 58.973, 109.545]",0.8785400000000001
252,22334,3,"[271.345, 268.708, 15.361, 66.554]",0.63048
253,22334,3,"[336.279, 268.255, 15.344, 58.395]",0.6134000000000001
254,22334,3,"[383.314, 277.734, 10.482, 41.692]",0.45011
255,24660,2,"[409.943, 232.127, 101.347, 134.369]",0.8734400000000001
256,24660,2,"[0.0, 255.426, 33.387, 43.366]",0.7683700000000001
257,24660,2,"[302.155, 260.262, 112.859, 73.381]",0.7537100000000001
258,24660,2,"[30.152, 257.057, 36.27, 42.016]",0.65966
259,24660,2,"[296.056, 258.118, 47.781, 53.576]",0.5207200000000001
260,24660,2,"[4.004, 255.296, 43.011, 45.898]",0.45253000000000004
261,24660,2,"[101.108, 265.075, 24.227, 20.095]",0.24431000000000003
262,24660,2,"[129.461, 253.222, 29.64, 26.298]",0.24234000000000003
263,25983,2,"[416.676, 230.159, 94.415, 105.483]",0.9063800000000001
264,25983,2,"[322.68, 234.804, 43.272, 41.267]",0.7844700000000001
265,25983,2,"[290.097, 242.436, 21.875, 25.939]",0.6502500000000001
266,25983,2,"[57.952, 248.53, 32.49, 33.076]",0.58189
267,25983,1,"[149.176, 246.089, 10.587, 38.404]",0.31979
268,25983,2,"[22.689, 248.844, 36.189, 35.526]",0.31187000000000004
269,13507,2,"[352.174, 223.437, 50.863, 48.588]",0.8146100000000001
270,13507,2,"[307.584, 234.469, 27.77, 30.485]",0.73958
271,13507,2,"[22.205, 244.015, 50.675, 38.258]",0.6433800000000001
272,13507,1,"[132.826, 239.795, 14.033, 45.513]",0.40237
273,13507,2,"[113.615, 242.918, 23.249, 24.257]",0.34828000000000003
274,29654,2,"[361.559, 231.247, 150.441, 90.15]",0.91834
275,29654,2,"[35.394, 249.649, 46.893, 43.456]",0.90846
276,13499,2,"[268.077, 237.686, 165.615, 89.366]",0.9331600000000001
277,13499,2,"[24.218, 249.906, 51.077, 46.365]",0.89387
278,13932,2,"[14.627, 240.873, 206.494, 118.899]",0.9238100000000001
279,13932,2,"[6.933, 251.135, 55.174, 52.782]",0.7972400000000001
280,28914,2,"[406.586, 249.041, 38.207, 31.745]",0.86877
281,28914,2,"[438.04, 247.606, 31.188, 18.97]",0.72626
282,28914,11,"[178.609, 234.669, 65.12, 47.75]",0.72352
283,28914,3,"[128.766, 255.23, 9.18, 38.99]",0.66549
284,28914,3,"[165.826, 252.401, 8.633, 38.089]",0.6456700000000001
285,28914,3,"[89.723, 259.717, 8.789, 33.826]",0.62209
286,28914,3,"[173.975, 253.504, 8.804, 36.526]",0.52293
287,28914,3,"[167.04, 253.23, 12.773, 37.955]",0.39448000000000005
288,28914,3,"[200.809, 253.173, 8.452, 35.371]",0.35332
289,28914,3,"[176.27, 250.537, 8.463, 40.752]",0.2832
290,28914,2,"[320.993, 242.089, 21.711, 18.751]",0.26558000000000004
291,28914,2,"[178.816, 236.096, 66.907, 46.048]",0.2634
292,28914,11,"[322.253, 242.593, 20.795, 17.592]",0.23083
293,28914,3,"[86.885, 259.077, 14.34, 36.522]",0.22609
294,28538,11,"[402.195, 212.517, 107.086, 75.59]",0.8972300000000001
295,28538,11,"[284.112, 244.97, 23.598, 35.385]",0.6776
296,20399,11,"[468.434, 187.208, 42.214, 101.515]",0.8946600000000001
297,20399,11,"[292.141, 238.475, 30.383, 37.872]",0.5369700000000001
298,5389,2,"[95.687, 248.534, 23.73, 18.643]",0.7692500000000001
299,20104,2,"[75.221, 248.591, 28.525, 20.554]",0.7512800000000001
300,24586,2,"[66.646, 256.831, 28.823, 20.372]",0.7730600000000001
301,24586,2,"[196.514, 257.633, 12.733, 12.817]",0.25917
302,26172,2,"[280.939, 277.173, 21.074, 16.781]",0.68306
303,1749,2,"[79.714, 278.858, 19.278, 16.867]",0.57606
304,1749,11,"[27.885, 260.77, 20.078, 21.922]",0.31517
305,1749,2,"[133.373, 277.959, 16.726, 12.736]",0.28557000000000005
306,10134,2,"[103.205, 241.545, 23.669, 16.1]",0.72465
307,10134,2,"[162.297, 240.379, 24.097, 14.554]",0.59811
308,10134,11,"[31.833, 223.591, 34.603, 24.952]",0.36361000000000004
309,12168,11,"[0.0, 44.687, 139.726, 302.68]",0.87794
310,13219,11,"[0.0, 31.028, 99.165, 307.07]",0.8679300000000001
311,11088,2,"[111.216, 261.135, 21.7, 19.648]",0.37227000000000005
312,11088,2,"[5.687, 253.648, 53.03, 35.321]",0.34541000000000005
313,11088,11,"[7.491, 254.531, 44.163, 34.403]",0.24309000000000003
314,12011,2,"[76.117, 233.915, 24.227, 29.437]",0.51732
315,12358,2,"[54.003, 256.693, 67.7, 58.527]",0.9007400000000001
316,12926,2,"[238.587, 240.878, 93.875, 86.085]",0.9040900000000001
317,12926,2,"[398.359, 231.172, 31.175, 43.504]",0.5451
318,19795,2,"[242.691, 244.116, 96.452, 84.914]",0.9197900000000001
319,19795,2,"[381.61, 233.16, 44.62, 50.426]",0.8353900000000001
320,19023,2,"[247.35, 249.223, 96.455, 82.896]",0.9130800000000001
321,19023,2,"[373.095, 237.148, 47.784, 55.603]",0.8797800000000001
322,25675,11,"[0.0, 175.017, 58.389, 119.427]",0.84108
323,25675,11,"[120.997, 221.963, 77.372, 62.279]",0.5020100000000001
324,2950,11,"[207.092, 153.959, 72.564, 164.589]",0.8760600000000001
325,2950,11,"[380.655, 217.373, 122.408, 100.56]",0.7468600000000001
326,21452,11,"[255.451, 131.168, 87.709, 193.039]",0.9185900000000001
327,21452,2,"[0.0, 314.981, 31.637, 29.417]",0.5293
328,19518,11,"[292.481, 97.112, 124.744, 253.996]",0.8904700000000001
329,19518,2,"[0.126, 323.706, 43.14, 42.059]",0.7681500000000001
330,13868,2,"[110.056, 251.819, 98.912, 112.788]",0.90056
331,13868,2,"[0.538, 246.606, 75.29, 155.205]",0.87621
332,13868,11,"[162.71, 123.457, 82.991, 183.457]",0.8659600000000001
333,13868,2,"[47.977, 245.189, 41.116, 54.458]",0.5344
334,13868,2,"[322.734, 255.122, 20.695, 21.78]",0.45616
335,13868,2,"[80.124, 253.171, 28.663, 45.294]",0.43123000000000006
336,13868,2,"[305.062, 255.206, 18.594, 20.368]",0.37717
337,26801,11,"[232.632, 240.998, 58.09, 34.682]",0.8714600000000001
338,26801,2,"[323.435, 264.538, 48.427, 25.741]",0.80432
339,26801,11,"[110.729, 245.813, 24.719, 30.865]",0.7408800000000001
340,26801,2,"[81.723, 255.347, 15.967, 14.538]",0.31301
341,29010,2,"[152.497, 240.871, 31.278, 29.512]",0.7491500000000001
342,12878,2,"[65.922, 244.078, 36.761, 32.871]",0.8259000000000001
343,12878,2,"[161.406, 254.961, 22.998, 19.52]",0.30068
344,12325,2,"[6.219, 237.581, 42.322, 37.041]",0.7809800000000001
345,5392,11,"[61.026, 227.725, 41.974, 53.675]",0.31227000000000005
346,6471,2,"[43.935, 260.471, 30.858, 22.518]",0.5268700000000001
347,11061,2,"[113.0, 248.248, 94.843, 119.944]",0.9188100000000001
348,11061,2,"[2.094, 245.821, 98.193, 122.526]",0.90268
349,11061,11,"[157.504, 124.487, 81.456, 184.843]",0.86445
350,11061,2,"[298.717, 254.054, 17.461, 21.435]",0.5051800000000001
351,11061,2,"[314.722, 254.52, 21.853, 21.346]",0.46433
352,11061,2,"[91.78, 255.352, 28.505, 32.625]",0.26492000000000004
353,11061,2,"[83.705, 254.296, 27.349, 34.11]",0.25852
354,11061,2,"[276.231, 254.766, 21.109, 22.931]",0.25222
355,25447,2,"[106.08, 249.632, 98.007, 121.189]",0.9160300000000001
356,25447,2,"[2.8, 248.741, 101.221, 106.463]",0.91012
357,25447,11,"[152.617, 131.328, 78.202, 162.646]",0.75046
358,25447,2,"[292.466, 254.959, 17.282, 20.973]",0.5194300000000001
359,25447,2,"[310.807, 254.286, 18.842, 22.163]",0.46696000000000004
360,25447,2,"[93.583, 254.641, 23.088, 33.856]",0.23464000000000002
361,17309,2,"[132.841, 246.784, 85.339, 101.569]",0.90095
362,17309,11,"[170.058, 161.23, 62.203, 128.731]",0.8578
363,17309,11,"[0.0, 28.776, 141.503, 338.529]",0.8251700000000001
364,17309,2,"[299.808, 252.845, 21.73, 20.843]",0.42766000000000004
365,17309,2,"[286.096, 252.08, 15.38, 20.613]",0.28705
366,16340,2,"[38.237, 250.289, 98.505, 96.043]",0.90788
367,16340,2,"[228.052, 250.999, 26.49, 31.917]",0.8474600000000001
368,16340,2,"[177.247, 254.338, 17.645, 18.035]",0.62156
369,28426,2,"[112.4, 253.395, 61.883, 64.035]",0.90761
370,28426,2,"[237.821, 251.753, 23.873, 30.91]",0.8322100000000001
371,28426,2,"[305.709, 239.844, 32.884, 27.471]",0.54185
372,18751,2,"[144.102, 257.202, 47.997, 48.341]",0.8887200000000001
373,18751,2,"[236.316, 253.257, 22.694, 30.04]",0.8267800000000001
374,26141,2,"[157.254, 258.27, 40.194, 43.424]",0.8756200000000001
375,26141,2,"[233.401, 257.022, 21.301, 27.474]",0.7652500000000001
376,26141,2,"[1.434, 266.113, 51.873, 30.514]",0.5360400000000001
377,26141,2,"[225.188, 257.23, 12.615, 19.815]",0.41261000000000003
378,18908,2,"[158.485, 259.521, 38.259, 43.342]",0.8590800000000001
379,18908,2,"[228.45, 259.654, 20.511, 26.504]",0.76961
380,18908,2,"[216.588, 258.385, 13.743, 20.678]",0.5195700000000001
381,13632,2,"[163.229, 262.298, 31.518, 38.459]",0.8157500000000001
382,13632,2,"[211.576, 261.393, 19.715, 26.196]",0.7722300000000001
383,13632,2,"[193.27, 263.197, 13.074, 18.074]",0.5565
384,21639,2,"[161.277, 256.722, 30.529, 37.672]",0.8595600000000001
385,21639,2,"[206.432, 255.411, 19.233, 25.083]",0.7635700000000001
386,21639,3,"[409.165, 218.748, 17.824, 79.105]",0.6911600000000001
